,sex,diet,systolic_bp_7W,systolic_bp_9W,systolic_bp_16W,systolic_bp_24W
0,F,Control,172.16433797909406,139.37527209981417,151.9462436952482,144.9946774621715
1,F,HF,165.7306884493498,167.2755897195165,168.98400422485622,188.04017134139187
2,M,Control,155.877953106281,154.35355677751593,158.37638997992494,161.07762939687527
3,M,HF,157.7753621981682,161.66040343668286,150.00945087784834,176.48821815465075
