,sex,diet,weight_3W,weight_10W,weight_17W,weight_24W
0,F,Control,58.75454939341421,219.56058636626227,226.34058932837803,283.65264135917175
1,F,HF,56.3667949298325,224.62494341330918,269.87560145522826,294.5861988029574
2,M,Control,62.88578034682081,334.1937572254335,425.3870123068866,475.2152395915161
3,M,HF,65.35175923107033,340.17801069890834,421.7728053791558,476.7307433694434
