,sex,diet,MAP_7W,MAP_9W,MAP_16W,MAP_24W
0,F,Control,142.79391510928096,111.32535173878418,120.80588001061852,104.47997079904432
1,F,HF,139.40085018030817,136.91587841802607,142.16708132848257,156.97533153385754
2,M,Control,120.56699982885503,114.6076459806232,129.08126909313086,118.84201798027406
3,M,HF,127.06626144879269,135.20207695181173,121.37389615240942,145.38936869630183
